STATE 	DISTRICT	SEQUENCED GENOME COUNT	DATE OF LAST UPDATE (dd/mm/yyyy)
Andaman and Nicobar Island (UT) 	Nicobar	0	22/04/2021
Andaman and Nicobar Island (UT) 	North and Middle Andaman	2	22/04/2021
Andaman and Nicobar Island (UT) 	South Andaman	0	22/04/2021
Andhra Pradesh 	Anantapur	0	22/04/2021
Andhra Pradesh 	Chittoor	3	22/04/2021
Andhra Pradesh 	East Godavari	0	22/04/2021
Andhra Pradesh 	Guntur	19	22/04/2021
Andhra Pradesh 	Krishna	1	22/04/2021
Andhra Pradesh 	Kurnool	0	22/04/2021
Andhra Pradesh 	Prakasam	1	22/04/2021
Andhra Pradesh 	Srikakulam	0	22/04/2021
Andhra Pradesh 	Sri Potti Sriramulu Nellore	3	22/04/2021
Andhra Pradesh 	Visakhapatnam	0	22/04/2021
Andhra Pradesh 	Vizianagaram	0	22/04/2021
Andhra Pradesh 	West Godavari	0	22/04/2021
Andhra Pradesh 	YSR District, Kadapa (Cuddapah)	17	22/04/2021
Arunachal Pradesh 	Anjaw	0	22/04/2021
Arunachal Pradesh 	Changlang	0	22/04/2021
Arunachal Pradesh 	Dibang Valley	0	22/04/2021
Arunachal Pradesh 	East Kameng	0	22/04/2021
Arunachal Pradesh 	East Siang	0	22/04/2021
Arunachal Pradesh 	Kamle	0	22/04/2021
Arunachal Pradesh 	Kra Daadi	0	22/04/2021
Arunachal Pradesh 	Kurung Kumey	0	22/04/2021
Arunachal Pradesh 	Lepa Rada	0	22/04/2021
Arunachal Pradesh 	Lohit	0	22/04/2021
Arunachal Pradesh 	Longding	0	22/04/2021
Arunachal Pradesh 	Lower Dibang Valley	0	22/04/2021
Arunachal Pradesh 	Lower Siang	0	22/04/2021
Arunachal Pradesh 	Lower Subansiri	0	22/04/2021
Arunachal Pradesh 	Namsai	0	22/04/2021
Arunachal Pradesh 	Pakke Kessang	0	22/04/2021
Arunachal Pradesh 	Papum Pare	0	22/04/2021
Arunachal Pradesh 	Shi Yomi	0	22/04/2021
Arunachal Pradesh 	Siang	0	22/04/2021
Arunachal Pradesh 	Tawang	0	22/04/2021
Arunachal Pradesh 	Tirap	0	22/04/2021
Arunachal Pradesh 	Upper Siang	0	22/04/2021
Arunachal Pradesh 	Upper Subansiri	0	22/04/2021
Arunachal Pradesh 	West Kameng	0	22/04/2021
Arunachal Pradesh 	West Siang	0	22/04/2021
Assam 	Baksa	0	22/04/2021
Assam 	Barpeta	0	22/04/2021
Assam 	Biswanath	0	22/04/2021
Assam 	Bongaigaon	0	22/04/2021
Assam 	Cachar	1	22/04/2021
Assam 	Charaideo	0	22/04/2021
Assam 	Chirang	0	22/04/2021
Assam 	Darrang	0	22/04/2021
Assam 	Dhemaji	0	22/04/2021
Assam 	Dhubri	0	22/04/2021
Assam 	Dibrugarh	0	22/04/2021
Assam 	Dima Hasao (North Cachar Hills)	0	22/04/2021
Assam 	Goalpara	0	22/04/2021
Assam 	Golaghat	0	22/04/2021
Assam 	Hailakandi	0	22/04/2021
Assam 	Hojai	0	22/04/2021
Assam 	Jorhat	0	22/04/2021
Assam 	Kamrup	0	22/04/2021
Assam 	Kamrup Metropolitan	0	22/04/2021
Assam 	Karbi Anglong	0	22/04/2021
Assam 	Karimganj	0	22/04/2021
Assam 	Kokrajhar	0	22/04/2021
Assam 	Lakhimpur	0	22/04/2021
Assam 	Majuli	0	22/04/2021
Assam 	Morigaon	0	22/04/2021
Assam 	Nagaon	0	22/04/2021
Assam 	Nalbari	0	22/04/2021
Assam 	Sivasagar	0	22/04/2021
Assam 	Sonitpur	0	22/04/2021
Assam 	South Salamara-Mankachar	0	22/04/2021
Assam 	Tinsukia	0	22/04/2021
Assam 	Udalguri	0	22/04/2021
Assam 	West Karbi Anglong	0	22/04/2021
Bihar 	Araria	0	22/04/2021
Bihar 	Arwal	0	22/04/2021
Bihar 	Aurangabad	1	22/04/2021
Bihar 	Banka	0	22/04/2021
Bihar 	Begusarai	0	22/04/2021
Bihar 	Bhagalpur	1	22/04/2021
Bihar 	Bhojpur	0	22/04/2021
Bihar 	Buxar	0	22/04/2021
Bihar 	Darbhanga	0	22/04/2021
Bihar 	East Champaran (Motihari)	0	22/04/2021
Bihar 	Gaya	0	22/04/2021
Bihar 	Gopalganj	0	22/04/2021
Bihar 	Jamui	0	22/04/2021
Bihar 	Jehanabad	0	22/04/2021
Bihar 	Kaimur (Bhabua)	0	22/04/2021
Bihar 	Katihar	0	22/04/2021
Bihar 	Khagaria	0	22/04/2021
Bihar 	Kishanganj	0	22/04/2021
Bihar 	Lakhisarai	0	22/04/2021
Bihar 	Madhepura	0	22/04/2021
Bihar 	Madhubani	0	22/04/2021
Bihar 	Munger (Monghyr)	1	22/04/2021
Bihar 	Muzaffarpur	3	22/04/2021
Bihar 	Nalanda	0	22/04/2021
Bihar 	Nawada	0	22/04/2021
Bihar 	Patna	40	22/04/2021
Bihar 	Purnia (Purnea)	0	22/04/2021
Bihar 	Rohtas	0	22/04/2021
Bihar 	Saharsa	0	22/04/2021
Bihar 	Samastipur	0	22/04/2021
Bihar 	Saran	0	22/04/2021
Bihar 	Sheikhpura	0	22/04/2021
Bihar 	Sheohar	0	22/04/2021
Bihar 	Sitamarhi	0	22/04/2021
Bihar 	Siwan	0	22/04/2021
Bihar 	Supaul	0	22/04/2021
Bihar 	Vaishali	0	22/04/2021
Bihar 	West Champaran	0	22/04/2021
Chandigarh (UT) 	Chandigarh	2	22/04/2021
Chhattisgarh 	Balod	0	22/04/2021
Chhattisgarh 	Baloda Bazar	0	22/04/2021
Chhattisgarh 	Balrampur	0	22/04/2021
Chhattisgarh 	Bastar	5	22/04/2021
Chhattisgarh 	Bemetara	0	22/04/2021
Chhattisgarh 	Bijapur	0	22/04/2021
Chhattisgarh 	Bilaspur	60	22/04/2021
Chhattisgarh 	Dantewada (South Bastar)	0	22/04/2021
Chhattisgarh 	Dhamtari	0	22/04/2021
Chhattisgarh 	Durg	0	22/04/2021
Chhattisgarh 	Gariyaband	0	22/04/2021
Chhattisgarh 	Janjgir-Champa	0	22/04/2021
Chhattisgarh 	Jashpur	0	22/04/2021
Chhattisgarh 	Kabirdham (Kawardha)	0	22/04/2021
Chhattisgarh 	Kanker (North Bastar)	0	22/04/2021
Chhattisgarh 	Kondagaon	0	22/04/2021
Chhattisgarh 	Korba	0	22/04/2021
Chhattisgarh 	Korea (Koriya)	0	22/04/2021
Chhattisgarh 	Mahasamund	0	22/04/2021
Chhattisgarh 	Mungeli	0	22/04/2021
Chhattisgarh 	Narayanpur	0	22/04/2021
Chhattisgarh 	Raigarh	75	22/04/2021
Chhattisgarh 	Raipur	53	22/04/2021
Chhattisgarh 	Rajnandgaon	72	22/04/2021
Chhattisgarh 	Sukma	0	22/04/2021
Chhattisgarh 	Surajpur	0	22/04/2021
Chhattisgarh 	Surguja	39	22/04/2021
Dadra and Nagar Haveli (UT) 	 Dadra & Nagar Haveli	0	22/04/2021
Daman and Diu (UT) 	Daman	0	22/04/2021
Daman and Diu (UT) 	Diu	0	22/04/2021
